CodInst,Data,NomeInstituicao,DataInicioAtividade,Tcb,Td,Tc,SegmentoTb,Atividade,Uf,Municipio,Sr,CodConglomeradoFinanceiro,CodConglomeradoPrudencial,CnpjInstituicaoLider,Situacao
01721118,2023-03-01,ALVORADA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,199702,N2,I,3,Sociedade Distribuidora de TVM,,SP,Osasco,,,,,I
62523238,2023-03-01,ALVORADA S.A. DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS,196903,N2,I,2,Sociedade Distribuidora de TVM,,SP,São Paulo,,,,,I
17312661,2023-03-01,AMARIL FRANKLIN CORRETORA DE TÍTULOS E VALORES LTDA,196708,N2,I,2,Sociedade Corretora de TVM,,MG,Belo Horizonte,S4,,C0082516,17312661,A
C0082516,2023-03-01,AMARIL FRANKLIN CTV LTDA - PRUDENCIAL,180001,N2,I,2,,CTVM DTVM - Câmbio,MG,Belo Horizonte,S4,,C0082516,17312661,A
C0082365,2023-03-01,AMAZÔNIA CC LTDA. - PRUDENCIAL,180001,N2,I,2,,Corretoras de Câmbio,AM,Manaus,S4,,C0082365,16927221,A
16927221,2023-03-01,AMAZÔNIA CORRETORA DE CÂMBIO LTDA.,201301,N2,I,2,Sociedade Corretora de Câmbio,,AM,Manaus,S4,,C0082365,16927221,A
17349564,2023-03-01,AMBAR DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,196807,N2,I,2,Sociedade Distribuidora de TVM,,MG,Belo Horizonte,,,,,I
17342569,2023-03-01,AMERICA DISTTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,196803,N2,I,2,Sociedade Distribuidora de TVM,,MG,Belo Horizonte,,,,,I
17361908,2023-03-01,AMERICANA S/A DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS,196809,N2,I,2,Sociedade Distribuidora de TVM,,SP,São Paulo,,,,,I
61767281,2023-03-01,ANCORA S/A CORRETORA DE CAMBIO E VALORES MOBILIARIOS,196706,N2,I,2,Sociedade Corretora de TVM,,SP,São Paulo,,,,,I
